,location_population,friends_number,sex,education,dob,daily_commute,In relationship,Married,Married with kids,Single,Mastercard,Revolut,Visa,Gym,Squash,Bodybuilding,Rowing,Cardio,Weightlifting,Badminton,Crossfit,Fitness,Stretching,Power bike,Kettleballs
61,55189,143,1.0,5.0,41.0,30.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,464254,120,0.0,4.0,23.0,16.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,120787,162,1.0,6.0,53.0,72.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,35770,364,1.0,6.0,23.0,89.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1764615,288,1.0,4.0,42.0,38.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,214566,143,1.0,4.0,48.0,70.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,61262,281,0.0,3.0,55.0,96.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,8941,350,0.0,3.0,72.0,89.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,464254,0,1.0,4.0,53.0,80.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,538633,152,0.0,4.0,58.0,88.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,690422,143,0.0,4.0,37.0,27.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,204013,104,1.0,3.0,23.0,30.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,339850,0,0.0,4.0,41.0,71.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,128211,115,1.0,2.0,38.0,34.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,5913,184,1.0,3.0,59.0,16.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,23899,386,1.0,3.0,44.0,65.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,403883,138,1.0,4.0,45.672,41.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,16398,199,0.0,2.0,29.0,21.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,101625,73,1.0,4.0,45.672,99.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,91465,287,0.0,4.0,51.0,59.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,128140,100,1.0,4.0,39.0,65.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,297288,214,0.0,2.0,47.0,97.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,22214,162,1.0,3.0,31.0,44.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,297288,219,1.0,3.0,68.0,48.4750830564784,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,296262,57,0.0,4.0,51.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,767348,198,1.0,5.0,48.0,99.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,464254,250,0.0,1.0,44.0,95.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,22214,242,0.0,3.0,36.0,40.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,2841,0,1.0,5.0,42.77777777777778,98.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,18415,181,0.0,6.0,48.0,21.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,767348,409,0.0,3.0,30.0,74.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,61262,241,1.0,5.0,40.0,35.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,1764615,336,1.0,1.0,33.0,95.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,767348,364,1.0,3.0,41.0,48.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,202562,281,0.0,4.0,40.0,49.67351598173516,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,690422,210,1.0,2.0,62.0,94.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
97,11482,180,1.0,4.0,60.0,51.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,113621,285,1.0,3.0,26.0,50.70429252782194,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,3752,265,0.0,6.0,59.0,93.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,57545,42,1.0,2.0,59.0,5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,1764615,220,0.0,2.0,23.0,62.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,109650,197,1.0,4.0,51.0,83.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,31653,173,1.0,2.0,58.0,20.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,49927,31,1.0,6.0,33.0,11.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,21393,63,1.0,5.0,63.0,44.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,29845,0,0.0,2.0,24.0,18.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,9052,46,1.0,3.0,44.0,58.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,1764615,36,1.0,6.0,51.0,38.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,28717,102,1.0,2.0,42.0,76.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,23810,215,0.0,3.0,37.0,32.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,538633,185,0.0,4.0,31.0,49.67351598173516,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,139129,255,0.0,2.0,43.0,50.8388625592417,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,246306,288,1.0,3.0,87.0,31.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
114,39937,113,0.0,4.0,37.0,61.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,22173,309,0.0,5.0,41.0,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
116,74834,179,0.0,3.0,38.0,28.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
117,72892,73,0.0,4.0,46.0,52.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,11106,79,0.0,1.0,32.0,38.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,767348,227,0.0,3.0,40.0,46.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,464254,160,0.0,1.0,24.0,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,6425,197,0.0,5.0,32.0,45.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,30207,247,1.0,2.0,54.0,94.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,7040,28,1.0,4.0,46.0,48.4750830564784,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,767348,177,1.0,3.0,51.0,67.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,538633,252,1.0,5.0,63.0,46.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,690422,75,0.0,3.0,69.0,72.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,113621,241,1.0,2.0,61.0,54.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128,139819,153,0.0,4.0,29.0,6.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,61903,117,0.0,5.0,51.0,77.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,17480,233,0.0,3.0,42.0,22.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,120787,7,0.0,5.0,39.0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,6530,125,0.0,3.0,44.0,63.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,767348,107,1.0,3.0,57.0,21.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,6792,118,1.0,5.0,58.0,92.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,352313,204,0.0,5.0,56.0,18.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,11696,220,0.0,1.0,52.0,54.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,61262,0,1.0,4.0,47.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,3014,305,0.0,2.0,43.69859813084112,83.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,690422,62,1.0,4.0,43.0,17.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,690422,59,1.0,1.0,42.0,68.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,767348,85,1.0,3.0,44.0,15.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,20488,219,1.0,6.0,51.0,88.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,13014,283,1.0,3.0,50.0,50.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1764615,277,0.0,4.0,54.0,76.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
145,403883,187,1.0,3.0,52.0,98.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
146,139819,234,1.0,4.0,48.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,73577,100,0.0,1.0,43.566502463054185,50.8388625592417,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,9139,179,1.0,4.0,23.0,45.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
149,35770,174,1.0,5.0,23.0,31.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
150,35770,309,0.0,4.0,45.0,56.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,13068,200,0.0,1.0,44.0,93.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,95629,72,1.0,4.0,46.14666666666667,96.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,352313,149,0.0,5.0,34.0,64.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,77653,433,1.0,4.0,33.0,55.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
155,18341,21,1.0,4.0,27.0,66.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,20488,163,0.0,3.0,28.0,91.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
157,3512,94,1.0,1.0,46.0,49.55,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,48632,151,0.0,4.0,48.0,50.8388625592417,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
159,17381,248,1.0,3.0,42.77777777777778,86.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,39084,141,0.0,3.0,55.0,43.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
161,34821,126,0.0,5.0,39.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,690422,283,1.0,4.0,67.0,88.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
163,538633,200,0.0,4.0,38.0,94.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,638586,267,1.0,2.0,43.0,49.55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
165,67523,290,0.0,5.0,37.0,50.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,55652,45,1.0,3.0,50.0,44.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,100324,205,1.0,4.0,56.0,84.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
168,767348,134,1.0,4.0,23.0,60.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
169,77653,172,1.0,3.0,30.0,40.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,55189,379,1.0,3.0,67.0,88.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,15661,76,0.0,3.0,23.0,52.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,30207,30,1.0,3.0,53.0,29.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,10605,446,0.0,3.0,73.0,14.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
174,767348,0,1.0,5.0,42.0,61.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,61661,311,1.0,6.0,52.0,37.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
176,37980,335,1.0,3.0,33.0,54.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,128140,199,0.0,1.0,43.69859813084112,49.67351598173516,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,171505,0,1.0,5.0,33.0,39.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
179,77653,224,1.0,4.0,69.0,74.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,139819,180,1.0,2.0,43.0,68.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
181,5594,192,0.0,3.0,23.0,88.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,638586,191,0.0,3.0,64.0,49.32786885245902,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
183,767348,17,0.0,4.0,43.69859813084112,64.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,1764615,261,1.0,4.0,45.0,50.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
185,63333,0,0.0,4.0,56.0,88.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,27266,80,1.0,4.0,56.0,25.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
187,1764615,355,1.0,6.0,50.0,86.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
188,5988,316,1.0,4.0,42.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,464254,319,0.0,1.0,47.0,32.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,339850,271,1.0,4.0,49.0,67.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,37892,178,0.0,4.0,45.0,36.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,1764615,494,1.0,2.0,43.0,73.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,1764615,276,1.0,4.0,41.0,31.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,92090,77,1.0,4.0,45.0,91.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195,22049,157,0.0,2.0,60.0,27.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
196,403883,334,1.0,3.0,24.0,49.454054054054055,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,296262,178,0.0,5.0,63.0,69.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198,60628,178,1.0,2.0,69.0,11.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,204013,114,1.0,4.0,50.0,58.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,128140,306,0.0,4.0,34.0,49.32786885245902,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201,14611,295,0.0,4.0,23.0,77.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202,1764615,191,0.0,2.0,49.0,59.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,173070,141,1.0,4.0,37.0,94.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
204,464254,83,1.0,4.0,55.0,77.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
205,403883,151,0.0,4.0,53.0,32.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,17903,319,1.0,2.0,44.0,80.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,181309,331,1.0,1.0,59.0,52.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,767348,365,1.0,5.0,90.0,34.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209,28637,156,1.0,2.0,45.0,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,10293,179,1.0,1.0,49.0,81.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
211,16983,22,0.0,4.0,63.0,74.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
212,4304,172,0.0,5.0,58.0,50.8388625592417,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,124295,285,1.0,3.0,45.0,21.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,101625,183,0.0,3.0,52.0,18.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,168394,238,1.0,3.0,53.0,82.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,690422,149,0.0,4.0,35.0,22.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
217,767348,203,1.0,1.0,55.0,48.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,1764615,144,1.0,1.0,43.0,50.70429252782194,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
219,11265,265,1.0,1.0,45.0,72.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,73577,259,1.0,3.0,37.0,91.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,690422,185,1.0,4.0,30.0,9.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
