,location,location_population,occupation,hobbies,friends_number,sex,credit_card_type,relationship_status,education,dob,daily_commute
45,Nidzica,13872,Sales workers,"Stretching,Flag Football,Coffee roasting",202,0.0,Revolut,Married,4.0,60.0,79.0
46,Świerzawa,2315,"Legal, social, cultural and related associate professionals","Sports,Genealogy,Nordic skating",255,1.0,Mastercard,Married,2.0,24.0,78.0
47,Ruda Śląska,138578,Teaching professionals,,247,1.0,Visa,Married,4.0,46.0,31.0
48,Bydgoszcz,352313,Customer services clerks,Badminton,164,1.0,Visa,In relationship,3.0,31.0,88.0
49,Mińsk Mazowiecki,40399,Electrical and electronic trades workers,,227,1.0,American Express,Married with kids,3.0,33.0,70.0
50,Gniezno,68943,Business and administration associate professionals,Letterboxing,324,0.0,Visa,Married with kids,3.0,40.0,84.0
51,Nowy Sącz,84041,"Chief executives, senior officials and legislators",,317,1.0,Visa,In relationship,4.0,35.0,76.0
52,Grajewo,22049,Business and administration associate professionals,,203,1.0,Visa,In relationship,2.0,73.0,50.70429252782194
53,Zabrze,174349,Personal service workers,"Embroidery,Web surfing",226,1.0,Visa,In relationship,6.0,40.0,35.0
54,Żabno,4248,Teaching professionals,"Fitness,Rowing,Writing",179,1.0,Visa,Married,2.0,45.29807692307692,92.0
55,Lublin,339850,Stationary plant and machine operators,"Roller skating,Board sports,Motor sports",339,1.0,Mastercard,Single,5.0,65.0,44.0
56,Kalisz Pomorski,4399,Handicraft and printing workers,Book restoration,281,1.0,Visa,In relationship,4.0,70.0,28.0
57,Wrocław,638586,Drivers and mobile plant operators,"Skateboarding,Flower arranging,Singing",173,1.0,Mastercard,Divorced,1.0,44.38461538461539,31.0
58,Gdańsk,464254,"Legal, social and cultural professionals",,223,1.0,Visa,Married,1.0,54.0,48.475083056478404
59,Strzelce Opolskie,18057,"Legal, social and cultural professionals",Crossfit,150,1.0,Visa,Married,4.0,40.0,68.0
60,Kielce,196804,"Labourers in mining, construction, manufacturing and transport",Squash,229,0.0,Mastercard,Single,4.0,49.0,4.0
61,Kalisz,101625,Commissioned armed forces officers,"Cosplaying,Flower arranging,Sculpting",250,0.0,Visa,In relationship,3.0,57.0,79.0
62,Toruń,202562,Teaching professionals,,161,0.0,Visa,Married,5.0,57.0,79.0
63,Tarnów,109650,"Legal, social, cultural and related associate professionals",,275,0.0,Visa,Married,4.0,82.0,56.0
64,Bydgoszcz,352313,General and keyboard clerks,Lacemaking,169,0.0,Visa,Single,4.0,27.0,95.0
65,Nowy Dwór Mazowiecki,28637,Other clerical support workers,"Board sports,Electronics",175,1.0,Visa,Divorced,3.0,40.0,73.0
66,Zabrze,174349,Protective services workers,"Kettleballs,Power bike,Glassblowing",172,1.0,Visa,Single,2.0,62.0,6.0
67,Olkusz,35921,"Legal, social and cultural professionals","Gym,Power bike,Ghost hunting,Lacemaking,Candle making",24,1.0,Mastercard,In relationship,4.0,37.0,77.0
68,Łódź,690422,Information and communications technicians,"Bodybuilding,Whittling",171,1.0,Mastercard,In relationship,4.0,30.0,39.0
69,Kraków,767348,"Armed forces occupations, other ranks","BASE jumping,Sculpting,Model building",151,0.0,Visa,Single,4.0,42.0,13.0
70,Siedlce,77653,Cleaners and helpers,"Scuba diving,Genealogy,Juggling",196,0.0,Visa,Married,4.0,47.0,49.0
71,Bielsko-Biała,171505,Sales workers,,231,1.0,Mastercard,Single,3.0,39.0,49.454054054054055
72,Świdnica,57671,"Chief executives, senior officials and legislators","Baseball,Horseback riding",329,1.0,Visa,In relationship,4.0,45.672,50.0
73,Zduńska Wola,42374,"Hospitality, retail and other services managers","Gym,Crossfit,Candle making",300,1.0,Visa,Divorced,3.0,23.0,92.0
74,Tuchola,13793,Customer services clerks,"Crossfit,Table tennis",183,1.0,Mastercard,In relationship,3.0,23.0,11.0
75,Kostrzyn nad Odrą,17918,"Chief executives, senior officials and legislators",Video gaming,89,0.0,Visa,In relationship,4.0,58.0,62.0
76,Płock,120787,"Labourers in mining, construction, manufacturing and transport","Squash,Cryptography,Rafting,Sculpting",156,1.0,Visa,Married with kids,5.0,50.0,3.0
77,Gubin,16740,Food preparation assistants,"Gym,Singing",0,1.0,Visa,In relationship,1.0,48.0,9.0
78,Murowana Goślina,10391,"Legal, social, cultural and related associate professionals","Sand art,Dance",138,1.0,Mastercard,In relationship,5.0,36.0,13.0
79,Poznań,538633,Personal care workers,"Crossfit,Jewelry making",160,1.0,Visa,Married,3.0,33.0,66.0
80,Piotrków Trybunalski,74312,Food preparation assistants,Blacksmithing,198,0.0,Visa,Married,4.0,48.0,60.0
81,Pszów,14114,"Armed forces occupations, other ranks",Foraging,188,0.0,Mastercard,In relationship,4.0,40.0,45.0
82,Polkowice,22504,Refuse workers and other elementary workers,"Crossfit,Listening to music",160,0.0,Visa,Single,3.0,35.0,66.0
83,Pruszków,61237,"Legal, social, cultural and related associate professionals",Vehicle restoration,247,1.0,Visa,Married,5.0,44.0,94.0
84,Marki,32686,Street and related sales and service workers,Yoga,234,0.0,Visa,In relationship,2.0,43.69859813084112,68.0
85,Bolesławiec,39084,"Food processing, wood working, garment and other craft and related trades workers",,294,1.0,Visa,Married,4.0,46.0,11.0
86,Lublin,339850,"Subsistence farmers, fishers, hunters and gatherers","Calligraphy,Parkour",367,1.0,Visa,Married with kids,2.0,67.0,13.0
87,Krosno,46600,Street and related sales and service workers,"Rowing,Lacemaking,Homebrewing,Hooping",206,0.0,Visa,Divorced,3.0,38.0,63.0
88,Tarnobrzeg,47387,Customer services clerks,Swimming,111,1.0,Revolut,Divorced,3.0,52.0,48.0
89,Rybnik,139129,Personal service workers,"Sports,Foreign language learning",282,1.0,Visa,In relationship,3.0,46.0,99.0
90,Gdynia,246306,Science and engineering professionals,"Homebrewing,LARPing",338,0.0,Mastercard,Married,4.0,27.0,9.0
91,Wrocław,638586,Assemblers,"Crossfit,Yoga",153,1.0,Visa,Single,4.0,26.0,89.0
92,Bielsko-Biała,171505,Personal care workers,"Backpacking,Homebrewing",287,1.0,Mastercard,Married with kids,2.0,31.0,79.0
93,Zabrze,174349,Health professionals,"Cardio,Gym,Skydiving,Swimming",234,1.0,Visa,Married,3.0,57.0,13.0
94,Gryfino,21393,Sales workers,"Badminton,Cooking,BASE jumping,Shooting",145,1.0,Mastercard,Married with kids,3.0,47.0,34.0
95,Włocławek,111752,Food preparation assistants,,0,0.0,Visa,Married with kids,3.0,45.0,99.0
96,Pabianice,65823,General and keyboard clerks,"Weightlifting,tabletop games",251,0.0,Mastercard,In relationship,5.0,37.0,63.0
97,Warszawa,1764615,"Agricultural, forestry and fishery labourers","Crossfit,Cardio",378,0.0,Visa,Single,3.0,47.0,44.0
98,Paczków,7600,"Labourers in mining, construction, manufacturing and transport","Badminton,Fishing",70,1.0,Visa,Married with kids,4.0,41.0,93.0
99,Łódź,690422,"Agricultural, forestry and fishery labourers","Scouting,Orienteering,Rappelling",296,1.0,Mastercard,Married,4.0,41.0,41.0
100,Siedlce,77653,Information and communications technology professionals,"Cardio,Handball",122,0.0,Mastercard,In relationship,2.0,30.0,20.0
101,Dobre Miasto,10293,Teaching professionals,"Squash,Skydiving,Pottery",184,0.0,Mastercard,Single,3.0,47.0,78.0
102,Lidzbark Warmiński,15877,"Armed forces occupations, other ranks",,20,1.0,Mastercard,In relationship,1.0,63.0,73.0
103,Hrubieszów,17903,Assemblers,"Fitness,Astronomy",384,1.0,Mastercard,Married with kids,3.0,56.0,97.0
104,Knurów,38594,Personal care workers,"Gym,Fishing,Painting,Rappelling",107,0.0,Mastercard,In relationship,4.0,44.0,90.0
105,Radom,214566,"Building and related trades workers, excluding electricians","Kettleballs,Bodybuilding,Lockpicking,Slacklining",108,0.0,Visa,Divorced,2.0,44.59375,9.0
106,Konstancin-Jeziorna,17191,Cleaners and helpers,"Weightlifting,Bodybuilding",213,0.0,Mastercard,Married,3.0,35.0,36.0
107,Sosnowiec,204013,Electrical and electronic trades workers,,250,0.0,Visa,Married,4.0,41.0,69.0
108,Katowice,296262,Production and specialised services managers,"Fitness,Sudoku,Vacation,amateur radio",0,1.0,Mastercard,In relationship,3.0,33.0,51.0
109,Żuromin,8941,Market-oriented skilled agricultural workers,"Badminton,Weightlifting,Gym,Woodworking",229,0.0,Visa,In relationship,4.0,65.0,68.0
110,Łódź,690422,Information and communications technology professionals,,375,1.0,Revolut,Divorced,5.0,60.0,25.0
111,Ciechocinek,10586,Food preparation assistants,Taxidermy,26,1.0,Mastercard,Married,4.0,27.0,38.0
112,Koszalin,107670,"Hospitality, retail and other services managers","Stretching,Cardio,Bodybuilding",197,1.0,Visa,Married,4.0,27.0,6.0
113,Kraków,767348,Assemblers,"Weightlifting,Power bike,Kite flying,Jewelry making",91,1.0,Visa,Married with kids,4.0,23.0,55.0
114,Bydgoszcz,352313,Other clerical support workers,"Mountain biking,Handball,BASE jumping",260,1.0,Mastercard,In relationship,3.0,44.0,85.0
115,Ruda Śląska,138578,Drivers and mobile plant operators,Taekwondo,139,0.0,Mastercard,In relationship,2.0,60.0,17.0
116,Gliwice,181309,Handicraft and printing workers,"Fitness,Weightlifting,Quilting,Beekeeping",233,1.0,Visa,Single,6.0,53.0,39.0
117,Warszawa,1764615,"Subsistence farmers, fishers, hunters and gatherers","Power bike,BASE jumping,Letterboxing",499,0.0,Mastercard,In relationship,4.0,41.0,31.0
118,Łaziska Górne,22390,Business and administration professionals,,155,1.0,Visa,Married with kids,5.0,23.0,15.0
119,Warszawa,1764615,Health associate professionals,"Gym,Stand-up comedy,Quilting,Jogging",111,1.0,Visa,Married with kids,4.0,49.0,49.55
120,Częstochowa,224376,Electrical and electronic trades workers,,97,1.0,Mastercard,Married with kids,2.0,41.0,25.0
121,Dzierżoniów,33653,Numerical and material recording clerks,"Kettleballs,Orienteering,Parkour",189,0.0,Visa,In relationship,2.0,43.69859813084112,66.0
122,Tczew,60257,Refuse workers and other elementary workers,"Rowing,Stretching,Paintball",218,0.0,Visa,In relationship,4.0,53.0,49.67351598173516
123,Katowice,296262,Market-oriented skilled agricultural workers,,216,1.0,Visa,Married,4.0,45.29807692307692,19.0
124,Rumia,48632,"Armed forces occupations, other ranks","Weightlifting,Gym,Flying,Running",166,1.0,Mastercard,In relationship,2.0,49.0,83.0
125,Kraków,767348,Handicraft and printing workers,,290,1.0,Visa,In relationship,3.0,42.0,73.0
126,Białystok,297288,Protective services workers,,202,1.0,Visa,Single,4.0,39.0,64.0
127,Sochaczew,36790,Business and administration professionals,"Stretching,Kettleballs,Weightlifting,Jogging,Yo-yoing,Poi",207,1.0,Visa,Single,1.0,32.0,30.0
128,Warszawa,1764615,Food preparation assistants,,312,0.0,Visa,Married,1.0,62.0,50.838862559241704
129,Koszalin,107670,"Metal, machinery and related trades workers","Weightlifting,Fitness",198,0.0,Mastercard,Single,4.0,28.0,16.0
130,Marki,32686,"Legal, social, cultural and related associate professionals","Crossfit,Rowing,Do it yourself",153,1.0,Visa,Single,3.0,34.0,96.0
131,Warszawa,1764615,"Labourers in mining, construction, manufacturing and transport","Stretching,Soapmaking,Dowsing",64,1.0,Mastercard,Divorced,4.0,39.0,2.0
132,Warszawa,1764615,Teaching professionals,"Driving,Book restoration,Rafting",24,1.0,Visa,Married with kids,5.0,36.0,63.0
133,Warszawa,1764615,"Building and related trades workers, excluding electricians","Embroidery,Orienteering,Scouting",156,0.0,Mastercard,In relationship,3.0,61.0,15.0
134,Nowy Sącz,84041,Business and administration professionals,"Stretching,Rowing,Fishing,Community",210,1.0,Revolut,In relationship,2.0,38.0,43.0
135,Ostrowiec Świętokrzyski,69852,Cleaners and helpers,"Web surfing,Stone skipping,amateur radio",177,1.0,Mastercard,Married with kids,5.0,62.0,15.0
136,Gdańsk,464254,Information and communications technology professionals,Flying,194,0.0,Visa,In relationship,5.0,49.0,71.0
137,Łódź,690422,General and keyboard clerks,"Crossfit,Poi",149,1.0,Visa,In relationship,2.0,59.0,82.0
138,Warszawa,1764615,Personal service workers,"Power bike,Blacksmithing,Creative writing",276,0.0,Mastercard,Divorced,4.0,50.0,35.0
139,Gliwice,181309,Customer services clerks,"Stretching,Polo",191,1.0,Mastercard,Married,6.0,24.0,57.0
140,Bydgoszcz,352313,Market-oriented skilled agricultural workers,"Gym,Shooting,Hooping,Calligraphy",245,1.0,Visa,In relationship,4.0,45.672,99.0
141,Bielsko-Biała,171505,"Chief executives, senior officials and legislators","Rowing,Book restoration,Painting",276,1.0,Mastercard,Married with kids,3.0,26.0,40.0
142,Grybów,6089,Personal service workers,,180,1.0,Visa,Married,2.0,42.0,8.0
143,Poznań,538633,Street and related sales and service workers,"Rowing,Stretching,Power bike,Nordic skating",198,0.0,Mastercard,Single,3.0,24.0,49.32786885245902
144,Warszawa,1764615,Handicraft and printing workers,"Bodybuilding,Graffiti,Community,Drama",214,1.0,Mastercard,Married with kids,4.0,52.0,14.0
145,Dobra,2353,Other clerical support workers,"Jogging,Kabaddi",173,1.0,Visa,Married with kids,2.0,54.0,48.0
146,Toruń,202562,General and keyboard clerks,"Jewelry making,Baseball",183,1.0,Mastercard,In relationship,3.0,49.0,63.0
147,Wrocław,638586,"Legal, social, cultural and related associate professionals",Kettleballs,35,1.0,Mastercard,In relationship,3.0,31.0,12.0
148,Poznań,538633,Science and engineering associate professionals,"Kettleballs,Bodybuilding,Poi,Taxidermy,Rugby",179,1.0,Mastercard,In relationship,4.0,37.0,55.0
149,Bieruń,19639,"Agricultural, forestry and fishery labourers","Woodworking,Paintball,Rappelling",155,1.0,Mastercard,In relationship,4.0,54.0,96.0
150,Poznań,538633,"Hospitality, retail and other services managers","Worldbuilding,Playing musical instruments,Writing",138,1.0,Mastercard,In relationship,4.0,45.0,21.0
151,Ruda Śląska,138578,"Legal, social, cultural and related associate professionals",,248,1.0,Visa,Single,4.0,24.0,72.0
152,Częstochowa,224376,Personal care workers,"Digital arts,Homebrewing,Crocheting",270,0.0,Visa,In relationship,4.0,70.0,28.0
153,Łódź,690422,Customer services clerks,"Gym,Kettleballs",150,1.0,Visa,Married with kids,4.0,41.0,94.0
154,Janikowo,8844,"Building and related trades workers, excluding electricians","Sudoku,Quilting",275,1.0,Visa,In relationship,4.0,45.672,66.0
155,Łęczna,19167,Science and engineering associate professionals,"Squash,Rowing",139,1.0,Mastercard,In relationship,3.0,74.0,88.0
156,Oleśnica,37300,General and keyboard clerks,"Shopping,Embroidery,Model building",158,1.0,Mastercard,Married with kids,5.0,35.0,18.0
157,Krotoszyn,29109,Cleaners and helpers,"Flower arranging,Surfing",258,1.0,Visa,In relationship,3.0,56.0,91.0
158,Sosnowiec,204013,Business and administration professionals,"Crossfit,Gym,Ice skating,Handball,Slacklining",103,0.0,Visa,In relationship,3.0,49.0,14.0
159,Gdynia,246306,General and keyboard clerks,"Cabaret,Acting",319,0.0,Mastercard,In relationship,5.0,40.0,94.0
160,Gniezno,68943,"Legal, social, cultural and related associate professionals",Cryptography,176,1.0,Visa,In relationship,2.0,56.0,50.70429252782194
161,Ostrów Wielkopolski,72364,Handicraft and printing workers,Squash,469,0.0,Visa,Married with kids,4.0,41.0,71.0
162,Świnoujście,41032,Protective services workers,"Quilting,BASE jumping,Water sports",182,1.0,Visa,In relationship,4.0,62.0,42.0
163,Szczebrzeszyn,5117,Administrative and commercial managers,Foraging,234,1.0,Mastercard,In relationship,2.0,37.0,70.0
164,Jasło,35445,Sales workers,"Crossfit,Mushroom hunting",242,0.0,Visa,In relationship,3.0,36.0,77.0
165,Rybnik,139129,"Legal, social, cultural and related associate professionals","Stretching,Backpacking,Web surfing",139,1.0,Visa,In relationship,4.0,71.0,86.0
166,Opole,128140,Science and engineering associate professionals,Badminton,64,1.0,Visa,Married with kids,4.0,34.0,49.55
167,Czarna Białostocka,9402,Numerical and material recording clerks,"Crossfit,Flag Football,Urban exploration,Electronics",255,1.0,Visa,Single,1.0,41.0,49.454054054054055
168,Warszawa,1764615,Handicraft and printing workers,"Book restoration,Letterboxing,Surfing",120,1.0,Visa,In relationship,4.0,45.672,91.0
169,Sosnowiec,204013,Administrative and commercial managers,"Ice skating,Genealogy",154,1.0,Mastercard,Married,4.0,52.0,26.0
170,Szczecin,403883,Assemblers,"Gym,Calligraphy",75,0.0,Visa,In relationship,4.0,52.0,49.67351598173516
171,Bydgoszcz,352313,"Hospitality, retail and other services managers",Cabaret,256,0.0,Visa,Married with kids,1.0,66.0,73.0
172,Radom,214566,Science and engineering professionals,,178,0.0,Mastercard,Married with kids,3.0,45.0,63.0
173,Jelenia Góra,80072,Information and communications technicians,"Kettleballs,Fitness,Letterboxing",230,0.0,Mastercard,In relationship,1.0,37.0,35.0
174,Łódź,690422,Production and specialised services managers,,174,1.0,Visa,In relationship,5.0,41.0,6.0
175,Wrocław,638586,Numerical and material recording clerks,,43,1.0,Visa,Single,4.0,42.77777777777778,6.0
176,Warszawa,1764615,Street and related sales and service workers,,145,1.0,Mastercard,In relationship,1.0,75.0,22.0
177,Grodzisk Mazowiecki,30955,"Labourers in mining, construction, manufacturing and transport","Gym,Cardio,Hunting",194,1.0,Revolut,In relationship,5.0,45.672,51.0
178,Działdowo,21370,Science and engineering professionals,,122,0.0,Mastercard,In relationship,4.0,47.0,26.0
179,Pobiedziska,9139,Health professionals,"Flying disc,Parkour",319,0.0,Visa,In relationship,4.0,43.69859813084112,85.0
180,Toruń,202562,"Hospitality, retail and other services managers","Rowing,Badminton,Kayaking,Orienteering,Computer programming",232,0.0,Visa,Married,4.0,63.0,20.0
181,Czeladź,31901,Administrative and commercial managers,Cosplaying,192,1.0,Visa,Married,2.0,70.0,4.0
182,Augustów,30270,General and keyboard clerks,Worldbuilding,273,0.0,Visa,Married with kids,3.0,55.0,6.0
183,Nowa Sól,39098,"Food processing, wood working, garment and other craft and related trades workers","Photography,Coloring",120,1.0,Visa,In relationship,4.0,23.0,11.0
184,Sopot,36533,Personal service workers,"Reading,Slacklining",165,1.0,Mastercard,Married,3.0,38.0,62.0
185,Częstochowa,224376,Business and administration associate professionals,,8,1.0,Visa,Married,3.0,45.29807692307692,93.0
186,Ozorków,19685,Protective services workers,"Cardio,Parkour,Worldbuilding,Rugby",172,1.0,Mastercard,Married,4.0,44.0,93.0
187,Połaniec,8181,Health associate professionals,"Fitness,Cardio,Kettleballs,role-playing games",198,0.0,Visa,Divorced,5.0,44.0,7.0
188,Żywiec,31560,"Armed forces occupations, other ranks","Weightlifting,Cardio,Squash",113,0.0,Visa,In relationship,4.0,23.0,49.67351598173516
189,Gdynia,246306,Street and related sales and service workers,"Bodybuilding,Weightlifting",230,0.0,Visa,In relationship,3.0,53.0,57.0
190,Myślenice,18415,Food preparation assistants,"Power bike,Bodybuilding,Metalworking",194,1.0,Visa,In relationship,2.0,59.0,58.0
191,Warka,11894,"Building and related trades workers, excluding electricians",Gardening,196,1.0,Visa,In relationship,3.0,67.0,67.0
192,Cieszyn,34876,Assemblers,Driving,65,1.0,Visa,In relationship,4.0,36.0,63.0
193,Bytom,168394,Non-commissioned armed forces officers,Mycology,10,1.0,Visa,In relationship,4.0,59.0,75.0
194,Koło,22227,Numerical and material recording clerks,"Weightlifting,Magic,Watching movies",421,1.0,Visa,Married,3.0,24.0,3.0
195,Częstochowa,224376,Sales workers,,327,0.0,Revolut,Married with kids,4.0,36.0,17.0
196,Wrocław,638586,"Chief executives, senior officials and legislators",Parkour,410,0.0,Visa,Married,5.0,33.0,70.0
197,Poznań,538633,Electrical and electronic trades workers,"Rowing,Yo-yoing,Knife making",216,1.0,Visa,Married with kids,5.0,52.0,50.0
198,Zator,3691,Non-commissioned armed forces officers,"Kettleballs,Weightlifting",298,0.0,Revolut,Married,2.0,62.0,61.0
199,Ząbki,35770,Personal care workers,"3D printing,Gambling",370,0.0,Visa,Married with kids,6.0,38.0,91.0
200,Warszawa,1764615,Customer services clerks,Mountaineering,31,0.0,Visa,In relationship,2.0,24.0,30.0
201,Debrzno,5152,Assemblers,,58,0.0,Mastercard,In relationship,3.0,74.0,59.0
202,Kraków,767348,Production and specialised services managers,"Squash,Power bike,Metalworking",168,1.0,Mastercard,Married,4.0,41.0,72.0
203,Słupsk,91465,Assemblers,,169,1.0,Visa,Married,3.0,28.0,89.0
204,Będzin,57343,Other clerical support workers,,0,1.0,Mastercard,Married,5.0,45.29807692307692,48.475083056478404
205,Poznań,538633,"Hospitality, retail and other services managers",Badminton,269,1.0,Visa,Single,3.0,49.0,86.0
206,Gdynia,246306,Refuse workers and other elementary workers,,141,0.0,Revolut,In relationship,4.0,43.69859813084112,47.0
207,Wrocław,638586,Science and engineering associate professionals,Driving,283,1.0,Visa,Single,2.0,45.0,34.0
208,Pruszków,61237,Science and engineering professionals,"Flower arranging,Vacation,Hunting",235,1.0,Mastercard,Married with kids,4.0,48.0,96.0
209,Gdańsk,464254,"Agricultural, forestry and fishery labourers",Foraging,224,1.0,Visa,In relationship,2.0,59.0,78.0
210,Chorzów,109021,Street and related sales and service workers,"Fitness,Magic,Hooping",194,0.0,Visa,In relationship,2.0,47.0,48.0
211,Nakło nad Notecią,18531,"Armed forces occupations, other ranks","Crossfit,Worldbuilding",331,1.0,Mastercard,In relationship,6.0,73.0,63.0
212,Pruszków,61237,Customer services clerks,Gaming,288,1.0,Mastercard,Single,2.0,70.0,64.0
213,Wałcz,25533,Health associate professionals,Skimboarding,296,1.0,Mastercard,In relationship,1.0,27.0,50.70429252782194
214,Pabianice,65823,Non-commissioned armed forces officers,,102,0.0,Visa,Married with kids,2.0,37.0,89.0
215,Szczecin,403883,Personal care workers,Painting,340,1.0,American Express,Married,2.0,44.0,4.0
216,Wołomin,37164,Street and related sales and service workers,"Rowing,Backpacking",275,1.0,Mastercard,Married with kids,4.0,32.0,2.0
217,Krośniewice,4426,Business and administration professionals,"Fitness,Bodybuilding,Gardening,Lapidary",80,1.0,Visa,In relationship,3.0,54.0,58.0
218,Poznań,538633,Business and administration associate professionals,"Gym,Quilting",286,0.0,Mastercard,In relationship,4.0,24.0,25.0
