,target
3131,1
2652,0
2523,0
2124,0
3774,0
2012,0
2439,0
2420,0
74,1
42,0
2941,0
2796,0
976,0
1572,0
3226,0
1404,1
2850,0
2655,0
1941,1
2468,1
3743,0
1090,0
952,0
1264,0
3809,1
3020,1
1207,0
2179,0
441,0
1181,0
461,1
2676,0
953,0
3114,0
2770,1
1098,0
1582,0
3984,1
436,0
1226,0
3206,0
322,0
282,0
1520,0
609,0
930,0
582,0
2684,1
878,1
975,0
45,0
598,0
2854,0
1319,0
469,0
870,0
565,1
2400,0
1176,1
3269,0
3073,0
2015,0
2725,0
2296,0
2880,0
2039,1
848,1
3249,1
2121,1
1681,0
2375,0
1992,1
2778,0
1362,0
2267,0
2970,0
3626,1
2274,0
1074,1
1408,1
3067,0
2001,0
3319,0
389,0
3151,0
1554,0
8,1
2592,1
24,0
3425,0
3584,0
3707,0
1230,0
317,0
1435,1
2173,0
1652,0
3053,0
3109,0
3303,1
1173,0
126,0
2019,0
2329,0
1433,0
2096,0
2948,0
2969,0
1297,0
1546,0
1208,0
1436,0
1655,0
3362,0
266,0
3014,0
2545,0
3816,0
869,1
2450,1
877,0
1212,1
3215,0
164,0
787,0
130,0
3432,1
1123,0
1342,1
3909,0
517,0
3363,0
2618,0
964,0
3032,1
60,1
2521,0
604,0
3146,0
153,0
3410,0
600,1
47,0
3381,0
710,0
3072,0
3001,0
342,0
3665,1
1656,1
66,0
3431,0
2382,0
2881,0
1971,0
3221,0
1981,1
2654,0
425,0
3427,0
2097,1
41,0
3776,0
1233,0
2763,0
2295,1
2180,0
1049,0
2797,0
3186,0
3513,1
1236,0
1148,0
1283,0
657,0
3240,0
2384,1
1204,0
2116,0
542,1
1632,0
3128,0
3609,0
784,0
798,1
925,1
3655,0
3528,0
2211,0
189,0
1252,0
2301,0
1557,0
3779,0
2464,1
457,0
510,0
788,0
2370,1
516,1
1893,0
3716,0
2156,0
292,0
2512,0
1449,1
3248,0
2957,0
3302,0
1317,0
58,0
257,0
2985,0
1423,0
2112,1
2971,0
1590,0
139,1
2700,0
1929,0
1396,0
1067,0
2333,0
209,0
2167,0
1020,0
274,0
1741,0
2673,0
2682,0
2206,0
1348,0
1878,0
1101,0
256,0
1518,1
3509,0
1122,0
2272,0
1944,1
1003,1
1856,0
1685,0
1797,1
3237,0
1262,0
2923,0
2989,0
1752,0
3525,1
2003,0
490,0
57,0
1002,0
644,0
2798,0
113,0
1186,0
238,0
528,0
2867,0
422,0
2113,0
3447,0
2079,0
2949,0
3236,0
3760,0
814,0
275,0
1816,1
2080,0
3395,0
3598,0
1141,0
3316,0
3891,0
2634,1
2567,0
2431,1
1979,0
1738,0
1332,0
3583,0
336,0
1151,1
2374,0
2679,0
1081,0
513,0
1007,0
539,0
2068,0
1673,1
570,0
728,0
802,0
2007,0
2146,0
1524,0
1343,0
2622,1
3890,0
2336,1
147,0
1041,1
163,0
1115,0
3843,1
818,1
2115,0
2168,1
1137,1
277,0
2163,0
3324,1
2328,0
1928,1
599,0
416,0
908,0
1970,0
966,0
2441,0
3283,0
3933,1
1624,1
2378,0
3897,1
53,0
3805,0
2357,0
1040,0
971,0
1265,0
2111,0
1467,0
3703,0
1065,1
3860,0
3434,0
2698,0
105,0
2249,0
2697,0
2447,0
914,0
3712,0
1914,0
3708,1
2668,1
955,0
3049,1
2449,0
1739,1
3295,0
2263,0
2177,0
1381,1
2911,0
2130,0
886,0
3454,1
101,1
1295,0
1567,0
1610,0
960,0
226,1
3865,0
1366,1
1496,0
3961,0
924,0
977,0
2585,1
1626,0
1164,0
1036,0
1690,0
1143,1
732,0
3327,0
730,0
3458,0
3255,0
684,0
1087,0
1822,0
1722,1
3966,0
3753,1
2554,0
1815,0
1099,0
2659,0
2010,0
3568,0
2726,0
3342,0
559,0
104,1
1175,1
3932,0
1789,1
3119,0
2335,0
465,0
2594,1
2061,0
3601,1
936,1
1132,1
2185,0
3184,1
2128,0
2755,0
1806,0
20,0
214,0
3880,0
2259,0
3211,0
242,0
1938,1
885,0
3900,0
3341,0
2234,0
1349,0
639,1
3733,1
1277,0
1042,0
3293,1
3702,0
2174,0
1592,1
2931,0
17,0
3927,0
3223,0
63,0
3387,0
3144,0
3450,1
3910,0
3405,0
2707,0
1693,0
2203,0
2212,1
3804,1
2501,0
3349,0
980,1
1011,1
1014,0
1475,0
2252,1
3125,0
3624,0
3915,0
397,0
2462,0
2095,0
2049,0
685,0
2299,0
3754,0
125,0
3461,0
1386,0
756,0
3318,0
208,1
2997,0
11,0
3246,0
3906,0
2991,0
2818,0
3999,1
779,0
3231,0
432,0
1713,0
2424,0
2779,0
2637,0
1290,0
844,0
3401,0
3042,0
3939,0
3084,0
37,0
1537,1
3569,0
3036,0
98,0
427,0
2395,1
2907,0
2207,0
3820,0
2877,0
3031,1
288,0
2710,1
1823,0
740,0
3467,0
2421,1
1613,0
3647,0
310,1
358,1
1015,0
1761,0
499,0
2429,0
178,0
3055,0
375,1
2027,0
3904,0
2665,0
2842,1
2672,1
3163,0
1796,1
148,0
1456,0
3749,0
2541,1
1201,0
1994,0
3631,0
1368,0
2685,1
2525,0
2723,0
1724,1
2454,0
2159,0
2780,1
2277,0
2119,0
3335,1
1683,1
2821,0
3948,0
3358,1
26,1
372,0
1650,0
1721,0
2269,1
1506,0
723,1
2946,0
1235,1
38,0
1279,0
232,0
1147,1
3773,0
1631,0
2675,0
3021,0
2494,0
3770,0
3414,0
103,0
626,0
2713,0
2122,0
508,0
3233,0
3550,0
2457,0
1579,0
1601,0
3262,1
1904,0
2139,1
1746,1
3135,1
2425,0
3400,0
2546,0
3652,0
2824,1
842,0
2884,0
2573,0
3377,0
3527,0
2104,0
1783,0
2788,0
3911,1
1502,0
544,0
988,0
1581,1
3969,0
2294,0
1231,0
3154,1
3087,0
1089,0
1951,0
1238,0
2063,0
3476,0
2074,0
1352,0
3147,1
617,0
2516,0
2214,0
1441,1
2443,0
1182,0
3887,0
1127,0
2089,0
215,0
579,0
1018,0
2828,0
3361,0
3592,0
837,0
3741,1
1818,0
3449,1
3455,1
2925,0
2575,0
1069,0
3995,1
414,0
1749,1
2908,0
3764,1
228,0
3960,0
891,0
3469,0
1187,1
1071,0
568,0
2433,0
3023,0
1398,1
1925,0
2766,0
3691,1
2237,0
293,0
2300,1
981,1
2653,0
942,0
660,0
1861,0
3516,0
1696,0
3913,0
2717,0
2067,1
3815,0
578,0
1844,1
1434,0
2132,0
1437,0
3272,0
3468,0
2996,0
1616,0
1345,0
2227,0
1188,0
3511,0
3802,1
2195,0
2123,0
377,0
745,0
3600,1
3814,0
2435,0
2359,0
3139,0
3627,0
2820,0
3959,0
2434,0
986,1
1558,0
132,0
2534,0
872,0
2636,0
3629,0
705,0
733,0
3170,1
2351,0
3851,0
739,0
2978,1
3714,0
1766,0
2692,0
1000,1
109,1
2994,0
146,0
1848,1
3172,1
786,0
3465,0
1418,0
2645,1
2475,0
408,0
919,0
1184,0
1466,0
939,1
1532,0
1842,0
3052,0
1983,0
2366,0
695,0
3868,0
1076,0
3812,0
1993,0
3642,1
623,0
191,0
2313,0
634,0
2988,0
631,0
2147,0
1762,0
413,0
1234,0
2131,0
2841,0
1126,0
473,0
3800,0
3912,1
3888,0
860,0
2777,0
3213,1
2181,0
3189,0
290,0
298,0
3424,0
1293,0
64,0
3149,0
3260,1
1486,0
124,1
3576,0
1916,0
3729,0
2767,0
366,1
2593,0
3585,0
390,0
450,0
2422,0
3540,0
2864,1
2722,0
3698,0
2608,0
3047,1
2060,1
3374,0
278,0
3448,0
734,0
1728,0
2906,0
2368,0
1770,0
3978,0
3724,0
2265,0
1121,0
2836,1
223,0
1118,0
21,0
3660,1
1124,0
284,0
808,0
793,0
2155,0
241,1
2446,1
3730,0
624,0
55,0
2938,0
1577,1
1294,0
899,1
3357,0
2092,1
2372,0
1476,0
2338,1
1513,0
2809,0
3368,0
3044,1
2253,0
2680,0
1608,0
2955,0
2365,0
3013,0
905,1
1340,0
2683,0
3765,1
1488,0
648,0
1114,0
2041,0
3879,0
1315,0
440,0
3305,0
152,0
596,0
687,1
575,0
1479,1
1446,0
2304,0
438,0
2690,0
1699,0
3502,0
2943,0
2271,0
1504,0
3484,0
155,1
2002,0
1776,1
2377,0
1973,0
3415,0
888,1
1516,0
1868,1
761,0
3016,1
611,0
1140,0
463,0
2493,0
3840,0
2204,0
199,0
3997,1
3807,0
54,0
1758,0
2910,0
2347,0
89,0
757,1
3310,1
1210,0
3266,0
3090,0
3964,0
2974,0
39,0
2282,0
3875,0
3111,0
668,1
566,1
1873,0
1765,0
2385,0
1158,0
1360,0
1324,0
1697,0
3796,0
3297,0
1119,1
2404,0
2419,1
1526,0
480,0
645,0
447,0
10,0
1328,1
1960,0
3285,1
3212,0
384,1
1826,0
1453,1
1450,0
690,0
2582,0
887,1
3561,0
1583,0
3071,0
3813,0
303,0
3869,0
95,1
2140,0
2058,1
670,0
2678,0
577,0
3102,0
3618,0
3746,0
3453,0
3782,0
673,0
758,0
2495,0
2498,0
1599,0
1763,0
3958,0
2530,0
3677,0
3693,0
1880,0
678,0
3769,0
704,1
514,0
134,1
2590,0
782,0
502,0
982,0
3562,0
3579,0
622,0
2799,0
3075,0
381,0
2030,1
2956,0
2285,0
3885,0
2617,0
5,1
1990,0
3444,0
1667,1
1289,0
2172,0
1531,0
3446,1
2874,0
3824,0
3750,0
1313,0
928,1
1079,0
1425,0
2215,0
1134,0
1658,0
1274,0
3393,0
3546,1
2782,0
892,0
1641,0
850,0
3421,1
1676,0
2191,1
1344,0
994,1
2297,0
326,0
1665,0
1482,0
2776,1
812,0
2302,0
2442,0
587,0
2044,0
2004,0
1275,1
1628,1
3359,1
2050,0
2367,1
3737,1
94,0
1505,1
3886,0
2160,0
3736,0
2577,0
724,0
3517,0
2307,0
2401,0
932,0
3271,0
3668,0
1292,0
605,0
3738,0
3383,0
2586,0
2239,0
1810,0
345,0
3866,1
3143,0
2183,0
1660,0
496,0
3553,1
3009,1
1991,0
1439,0
3311,0
1365,0
3456,0
1719,0
1642,0
1144,1
3811,1
839,0
1603,0
2198,0
556,0
3580,1
2394,0
2054,0
721,0
1957,1
2344,0
3499,0
1704,0
588,0
1465,0
3535,0
1559,0
334,0
3364,1
2414,0
2756,0
822,1
2527,0
3873,0
1866,0
2651,0
2066,1
166,1
655,0
1301,0
2930,1
2720,0
610,0
2819,0
380,0
2260,0
197,1
2353,0
956,0
341,0
1947,0
1565,0
2133,0
3855,0
1901,0
2626,0
1444,1
1363,1
1545,0
593,0
1870,0
916,0
2319,0
526,1
14,0
1727,1
3725,0
369,0
3828,0
2485,0
547,0
2213,0
847,1
527,0
3199,0
3485,0
3420,0
3619,0
2572,0
2107,0
2042,0
3452,0
718,0
2506,0
2839,0
868,0
896,0
3124,0
1196,1
917,1
3878,1
474,1
402,1
332,0
239,0
646,0
3024,0
1835,0
435,0
747,1
1227,0
3397,0
1179,0
743,1
3564,0
1454,0
2568,0
1907,0
1529,0
2968,0
442,0
2791,0
3949,1
1351,0
167,0
1159,1
159,1
2657,0
1890,0
193,0
3012,1
3551,1
1086,0
3676,0
2287,0
701,0
2339,0
2081,0
1145,0
3162,0
3493,0
2340,0
3208,1
2843,1
904,0
2741,0
2933,1
676,0
399,0
3790,0
3185,0
2127,0
3130,1
1584,0
2458,0
1892,0
2069,0
1585,0
2981,0
1793,1
963,0
3710,0
3183,0
3864,0
1602,1
2531,0
150,1
987,0
2879,1
958,0
1335,0
340,0
407,0
2110,0
1729,0
3261,1
2083,0
3589,0
445,0
689,0
2389,1
2802,0
1735,1
3459,0
2090,0
1261,0
1636,0
1060,0
1774,0
696,0
1720,1
564,0
1062,1
1128,0
2276,1
841,0
3234,1
1130,0
270,0
1956,0
2537,0
3842,0
1630,0
2305,0
3987,1
2255,1
2519,1
3883,0
3545,0
489,1
1303,0
206,0
3654,0
775,0
1561,1
1552,0
244,0
424,1
768,1
2827,0
2936,0
319,0
3133,1
1239,1
3950,0
1548,0
911,0
512,0
778,0
2532,0
1178,0
3350,0
3365,0
1647,0
2822,0
804,0
2189,1
642,0
3787,1
3662,1
455,0
1831,0
305,0
1139,0
3659,1
558,0
2006,0
3229,0
2965,0
2905,0
2872,0
858,0
1555,0
3533,1
937,0
584,1
3333,0
2711,0
300,1
99,0
915,0
1006,0
557,0
1589,1
3099,1
3051,0
2176,0
3134,0
2200,1
251,0
815,1
1001,0
3460,1
3218,1
833,0
770,0
1085,1
1367,1
3161,0
368,0
1851,0
3100,1
1393,0
612,1
1968,0
1895,0
831,0
2202,1
3680,0
2032,0
3164,0
1886,1
2052,0
1027,0
419,0
2412,0
2629,0
2806,0
873,0
246,1
1836,1
3505,0
2361,0
3418,0
1291,0
3207,0
2912,0
2773,1
1072,0
2919,0
551,1
777,0
536,1
2727,0
3123,1
2403,0
871,0
3320,0
112,1
2973,0
3331,1
1522,1
2330,0
3615,1
794,0
1569,0
1969,0
790,1
3257,0
2153,0
59,1
1358,0
2376,0
2703,0
3148,0
1933,0
1668,0
97,0
2808,1
3892,0
1245,0
118,0
2228,0
2859,0
1013,0
636,0
1915,0
1562,0
3089,0
4,0
2218,0
3752,0
43,0
503,0
2093,0
2371,0
2964,0
349,0
3636,0
3495,0
1032,0
3445,0
2426,0
945,1
363,0
902,1
2266,0
1269,0
3279,0
2216,0
1268,0
1689,0
1716,0
3605,0
477,0
211,0
3391,0
1535,0
3198,1
3096,0
1323,0
1248,0
538,1
3767,0
1841,0
2046,1
1495,0
3979,0
2664,1
1948,0
3064,1
2747,0
312,0
50,0
1309,1
1424,0
2986,1
1865,0
688,0
1846,0
482,0
1748,1
3928,0
3611,1
1426,0
2489,0
2834,0
2967,0
1203,0
1508,0
2047,0
2825,0
1383,1
3538,0
46,0
1564,0
961,0
1298,1
2505,1
2621,0
3106,0
2298,0
106,1
2326,0
1759,0
2743,0
1556,0
25,0
2921,0
2418,0
944,0
3288,0
1403,0
51,0
235,0
3639,1
969,0
1206,1
1419,1
2553,0
3867,1
1266,0
2513,1
2311,0
2507,0
1093,0
2649,1
949,0
1155,1
2578,0
3041,0
30,1
3718,0
2242,1
2771,1
418,0
533,0
3308,0
3378,0
2148,1
1894,0
27,0
1805,0
1075,0
324,0
1260,1
3300,0
3360,0
1606,0
3921,0
1528,0
2379,0
2807,0
2805,0
114,0
633,0
692,0
1930,1
3252,0
1515,0
3603,1
1919,0
177,0
2563,1
3344,0
1384,1
2023,0
1213,0
202,0
3853,0
1913,0
3617,0
1591,0
2813,0
2937,0
1731,1
1379,0
1066,1
3270,0
923,1
1422,0
367,0
1931,0
995,1
2084,0
2858,0
1129,0
3620,0
1807,0
3191,0
1563,0
287,1
1308,0
3120,0
2795,0
3622,0
2037,0
2794,1
3348,0
3338,0
2889,0
321,0
2885,0
2606,1
2125,0
996,0
2772,0
1813,1
629,0
3504,0
1889,0
2838,0
3219,0
3817,0
1388,1
525,0
1330,0
2945,0
1487,1
1808,0
2262,0
3552,0
3763,1
3988,0
3103,0
3792,0
3929,0
2631,0
3332,0
954,0
2387,0
494,1
910,0
3108,0
18,0
2358,0
2702,0
1547,0
2229,0
1605,0
3973,0
541,0
3259,1
2005,0
3058,0
846,0
3232,0
1798,0
1980,1
220,0
2169,0
3169,0
3954,0
2952,0
580,1
2823,0
755,0
1527,0
2940,0
2310,0
73,0
766,0
3649,1
1052,0
2609,1
679,0
1764,0
1775,0
2388,0
62,1
2633,0
974,0
3768,0
3508,0
269,0
3492,0
781,0
484,1
3322,0
1217,0
1740,0
3859,0
1784,0
1541,1
3751,0
2868,1
2749,0
395,0
2149,0
1412,0
3541,0
2769,0
2951,0
3404,0
307,1
3923,0
1809,0
1361,0
180,0
1512,1
1825,0
3388,1
3578,0
2144,0
2588,1
2062,1
3153,0
715,0
3379,1
249,0
3829,0
783,0
3970,0
1578,0
304,1
1730,0
811,0
1008,0
506,0
3375,0
343,0
3150,0
122,1
2154,0
625,0
1416,0
1918,0
764,0
3739,1
168,0
2268,0
2248,0
1874,0
1478,0
3380,0
3602,0
3030,0
3571,1
294,0
1501,0
713,0
2256,0
3567,1
800,0
2719,0
2029,1
181,0
2520,0
1517,0
1077,0
1306,0
522,0
3507,0
1452,0
2024,1
957,0
3937,0
520,1
198,0
2643,0
3783,0
3243,0
3166,0
803,0
583,0
1417,0
3015,0
481,0
3926,0
2699,1
776,0
3000,0
184,0
1477,0
2551,0
93,0
3713,1
2729,0
219,0
2134,1
1240,1
2178,0
3500,1
823,0
1326,0
2162,0
2934,0
3940,1
80,0
931,1
1950,0
2102,0
3475,0
1871,0
2886,0
2837,0
3780,0
1470,0
123,1
3056,0
3726,1
1237,0
2975,0
1088,0
2087,0
543,0
1232,0
2471,1
771,0
3372,0
720,0
192,0
1406,0
2522,0
2251,0
2072,1
2055,0
643,1
2108,0
475,1
1030,0
264,0
2190,0
117,0
3129,0
3173,0
451,0
1972,1
3664,0
1974,0
1882,0
806,0
697,0
2399,0
1104,0
359,0
212,1
2432,0
3823,0
108,0
171,0
2589,0
2407,0
176,1
351,0
1900,0
3156,0
2811,1
760,0
1447,0
2538,0
3117,1
1183,0
2314,0
320,0
3641,0
2640,0
2671,0
854,0
2129,0
2316,0
1742,0
1607,0
3608,0
267,0
2145,0
142,1
1273,0
2990,0
530,0
378,0
1961,0
61,0
2474,0
1702,0
2829,0
2518,0
1847,0
2909,0
1095,0
1811,0
3877,0
22,0
628,0
3241,0
1611,0
1718,1
3539,0
773,0
3833,1
383,1
348,0
2026,0
1733,0
2669,0
350,0
2705,0
1253,0
1092,0
3599,0
1480,1
2482,0
1402,0
1711,0
2735,0
2264,0
3723,1
3315,0
387,1
3422,0
3367,1
2225,0
3667,0
2762,0
458,0
1966,0
864,0
3839,0
2051,0
263,0
2480,0
2539,0
2552,0
3018,0
2694,1
1519,1
1575,0
1285,0
763,0
2445,0
3518,1
3063,0
23,1
3298,1
2492,0
2584,0
1259,0
1457,0
3159,0
752,0
200,0
201,0
1281,0
3759,0
1038,0
1869,0
3301,0
1500,0
1677,0
3976,0
3216,0
563,0
882,0
2816,0
699,0
3171,0
2555,0
3217,0
3799,0
3575,0
471,0
32,0
271,0
1593,0
2455,0
903,0
3195,0
1678,0
1680,0
820,0
470,1
3230,0
1917,0
1025,0
2958,0
3389,0
1192,0
591,0
2430,0
2322,0
3065,0
6,0
900,0
3076,1
3916,0
2258,0
2170,0
1747,0
3778,0
825,0
1,0
2861,0
3474,0
3167,0
1839,0
3136,0
1788,0
940,0
1899,0
311,0
234,1
1801,0
100,1
3941,0
1198,0
318,0
3277,0
2386,0
2451,0
2437,0
2151,0
196,0
792,0
1596,0
2638,0
3406,1
941,0
1698,0
3497,0
3894,1
1574,0
3917,0
621,0
2182,0
1623,0
3413,0
3537,0
3845,0
1952,0
700,0
1216,0
3214,1
410,0
2346,1
3594,1
3373,0
2716,0
464,0
1934,1
2647,0
2599,1
3200,1
2208,1
3428,0
635,0
3554,1
2728,0
3669,0
2662,0
3177,0
3696,0
1353,1
3145,0
2283,1
3740,1
85,1
2413,0
0,1
2280,0
1009,0
371,0
1509,1
16,0
1053,0
1070,1
3519,0
572,0
2392,0
129,0
2317,0
613,0
1464,0
3810,0
1884,0
2142,0
1492,1
3095,0
3870,1
2913,0
3683,0
627,0
195,0
185,0
1356,1
2290,0
2929,0
1103,1
3971,1
2091,1
3907,1
801,0
3092,0
1896,0
205,0
400,0
3278,0
2840,0
2409,0
91,1
1316,0
1629,0
1174,1
2899,0
1484,1
82,0
1111,0
3644,0
1165,0
1627,0
3328,0
272,0
339,0
1586,0
3848,1
3670,1
1945,0
1063,0
2781,0
96,0
1755,1
84,0
817,0
1254,0
1570,0
2804,0
1736,0
702,0
1538,0
3494,1
2810,0
3914,1
2362,1
3464,0
884,0
2826,0
2758,0
3523,0
3951,0
1976,0
619,0
3061,0
2681,1
2603,1
1507,0
1834,0
3244,0
1943,0
2245,0
638,0
851,0
3276,0
2469,0
3521,1
1385,0
978,0
2832,0
3273,0
140,1
1615,1
1336,0
2962,0
48,0
3440,0
1051,0
950,0
1963,0
3168,0
2817,0
3596,0
1391,0
2289,0
2076,1
3304,0
3514,0
959,1
3881,1
3132,0
12,0
1833,0
1034,0
3093,0
3141,0
985,0
1920,0
173,0
3110,0
3731,1
1781,1
2517,1
2320,0
2947,0
1373,0
2721,0
3704,0
2117,0
1047,0
3317,0
2904,0
3784,0
329,0
606,0
386,0
561,0
302,0
3818,0
3850,0
2695,0
3202,0
1530,0
346,0
3258,0
355,0
3438,0
1462,0
2745,0
1819,0
2895,1
1703,0
3687,0
2670,1
3209,1
2576,0
796,1
3942,0
1347,1
217,0
603,0
2972,1
3070,1
883,0
453,0
2558,0
2463,0
3486,0
1911,0
1228,0
2855,0
2736,0
2883,0
529,0
2548,0
2891,1
327,0
1959,0
2580,0
1840,0
3439,0
1799,1
2963,0
2448,0
3982,1
3113,1
1375,1
938,0
894,0
2696,0
2247,0
3797,0
2536,0
3653,0
1247,0
2528,0
3356,0
2562,0
797,0
1829,1
3786,0
1821,0
2687,0
3441,0
2230,0
3254,0
1566,0
933,0
2942,1
1935,0
2233,0
2579,0
1156,0
3621,0
2737,0
2793,0
2812,0
2893,0
1258,0
2533,0
296,0
3091,0
3479,0
373,0
1004,0
560,1
607,1
2999,0
1427,0
466,0
1474,0
3126,0
2164,0
2196,0
1771,0
2869,0
2845,0
1580,0
1982,1
3336,1
1270,0
3289,0
1135,0
2761,1
3290,0
2085,1
1390,0
3190,0
1257,0
2383,0
2071,0
3330,0
1333,0
2650,0
2892,1
2924,0
540,1
1401,0
3490,0
1571,0
3938,0
207,0
143,0
1105,0
1955,0
569,0
2288,0
121,0
3025,0
2502,0
2542,0
1050,0
500,0
754,0
3040,1
396,0
1795,0
3994,0
1540,0
589,0
3934,0
1523,0
795,0
647,1
3390,0
1459,0
1242,0
3407,0
3711,1
1830,1
1320,0
3060,0
1691,0
3930,1
972,1
2995,0
912,0
460,0
1785,0
2332,0
3094,0
1251,0
2768,0
1939,0
1026,0
1469,0
548,0
2013,0
3101,0
498,0
920,0
3825,1
3529,0
3077,0
3819,0
1305,1
3104,0
421,1
3520,0
3699,0
1995,0
156,0
2612,0
1897,0
519,0
2918,0
151,0
2658,1
586,1
259,0
2345,0
3727,0
3574,0
1494,1
2601,0
3893,0
3082,0
2739,0
3079,0
3280,0
1684,0
2890,0
1399,0
1622,1
1857,0
1438,0
291,1
927,0
1073,0
1912,0
2734,1
3681,1
2034,0
1751,0
2496,0
2100,0
2356,1
1339,0
488,0
2639,1
2790,0
3007,0
3463,0
2686,1
3573,0
119,1
360,0
3466,0
2048,1
653,0
1551,0
1663,0
86,0
2219,0
1852,0
865,0
2075,1
2833,0
746,0
3582,0
748,1
3734,0
1717,0
3563,0
2627,0
1760,0
1276,0
552,0
3889,0
2983,0
3844,1
3203,0
3771,0
2674,0
1732,1
2613,0
3197,0
9,0
1102,0
2961,0
2856,0
2591,0
3556,0
1288,0
2635,1
1078,1
388,0
1694,0
1376,0
3559,0
3638,0
250,1
443,0
1864,1
165,0
505,0
2312,1
2099,1
107,0
1083,0
2011,1
3876,0
478,0
1621,1
3312,0
2547,0
3253,0
439,0
2514,1
3017,0
711,0
3050,0
749,0
1767,0
2246,1
1906,0
1080,1
3351,0
1355,0
190,0
1214,1
1987,0
3606,1
3294,0
1138,0
2199,1
3532,1
1712,0
187,0
1097,0
729,0
240,0
145,0
562,0
255,0
1977,1
2143,0
1634,1
1743,0
1395,0
3442,0
3587,0
2460,0
3565,0
1662,1
1824,0
1185,0
1965,0
426,0
243,1
680,0
1440,1
2391,0
3002,0
3394,0
3633,0
3720,1
1054,0
1397,0
3998,0
706,0
56,0
1510,0
1533,0
2470,0
3785,0
149,1
2581,0
183,0
1024,0
1411,0
1588,0
1150,0
3366,0
3116,0
946,0
3748,1
3944,0
1337,0
951,0
2871,1
3678,0
2157,0
3943,0
3836,1
1082,1
393,0
2866,0
456,0
3671,0
2408,0
1921,0
709,0
2487,1
174,0
1146,0
